日付,項目,金額,種類
2026-03-02,カフェ,500,支出
2026-03-03,ドーナツ,1200,支出
2026-03-10,カード引落,12000,支出
2026-03-15,日用品,8000,支出
2026-03-26,副業,18700,収入
2026-03-30,交通費,5000,支出
2026-04-01,給与,120000,収入
2026-04-01,カフェ,800,支出
2026-04-03,ドーナツ,600,支出
2026-04-05,交通費,8000,支出
2026-04-10,カード引落,21000,支出
2026-04-15,日用品,9000,支出
2026-04-26,副業,1700,収入
2026-05-01,給与,120000,収入
2026-05-08,カフェ,900,支出
2026-05-11,ドーナツ,1400,支出
2026-05-15,カード引落,24000,支出
2026-05-15,日用品,9300,支出
2026-05-28,副業,3700,収入
2026-06-01,給与,118000,収入
2026-06-03,雑費,118000,支出
